brand,model,use,surface,heel,forefoot,drop,weight,price,plate,waterproof,cushioning,width,breathability,source_link
New Balance,Fresh Foam X Hierro v9,daily trainer,trail,37.3 mm,33.1 mm,4.2 mm,309g,$155,no,no,maximal,normal,medium,https://runrepeat.com/new-balance-fresh-foam-x-hierro-v9
Hoka,Tecton X 2,racer,trail,37.4 mm,31.8 mm,5.6 mm,257g,$225,carbon,no,maximal,narrow,high,https://runrepeat.com/hoka-tecton-x-2
Nike,Wildhorse 10,daily trainer,trail,38.3 mm,27.4 mm,10.9 mm,312g,$165,forefoot rock plate,no,maximal,normal,medium,https://runrepeat.com/nike-wildhorse-10
Saucony,Ride 17,daily trainer,road,35.1 mm,26.6 mm,8.5 mm,288g,N/A,no,no,maximal,normal,low,https://runrepeat.com/saucony-ride-17
Hoka,Transport X,daily trainer,road,40.2,30.8,9.4,274,200,carbon,no,maximal,normal,high,https://runrepeat.com/hoka-transport-x
On,Cloudboom Strike,racer,road,38.1 mm,34.9 mm,3.2 mm,201g,$280,carbon,no,responsive,normal,high,https://runrepeat.com/on-cloudboom-strike
Hoka,Speedgoat 6,daily trainer,trail,32.1 mm,27.2 mm,4.9 mm,278g,N/A,no,no,maximal,normal,low,https://runrepeat.com/hoka-speedgoat-6
Salomon,XA Pro 3D v9 GTX,daily trainer,trail,33.5 mm,20.0 mm,13.5 mm,359g,N/A,no,yes,firm,normal,low,https://runrepeat.com/salomon-xa-pro-3d-v9-gtx
Hoka,Skyward X,daily trainer,road,46.3 mm,37.1 mm,9.2 mm,315g,$225,carbon,no,maximal,narrow,high,https://runrepeat.com/hoka-skyward-x
Saucony,Hurricane 24,daily trainer,road,40.5 mm,34.2 mm,6.3 mm,315g,N/A,no,no,maximal,normal,high,https://runrepeat.com/saucony-hurricane-24
PUMA,Deviate Nitro 2,daily trainer,road,31.7,26.1,5.6,257,160,carbon,no,plush,normal,high,https://runrepeat.com/puma-deviate-nitro-2
Hoka,Solimar,cross-training,road,30.4,24.0,6,232,125,no,no,moderate,narrow,high,https://runrepeat.com/hoka-solimar
Adidas,Supernova Rise 2,daily trainer,road,33.5 mm,24.0 mm,9.5 mm,257g,$140,no,no,responsive,wide,high,https://runrepeat.com/adidas-supernova-rise-2
Hoka,Bondi 9,daily trainer,road,41.3 mm,32.2 mm,9.1 mm,303g,N/A,no,no,maximal,narrow,medium,https://runrepeat.com/hoka-bondi-9
Nike,Alphafly 3,racer,road,38.1 mm,29.6 mm,8.5 mm,201g,$285,carbon,no,maximal,normal,high,https://runrepeat.com/nike-alphafly-3
Altra,FWD VIA,daily trainer,road,35.9 mm,29.4 mm,6.5 mm,255g,N/A,no,no,firm,wide,medium,https://runrepeat.com/altra-fwd-via
Saucony,Tempus,daily trainer,road,33.9,N/A,N/A,252,160,no,no,responsive,normal,high,https://runrepeat.com/saucony-tempus
ASICS,Glideride Max,daily trainer,road,44.1 mm,31.4 mm,12.7 mm,281g,$170,EVA,no,maximal,normal,medium,https://runrepeat.com/asics-glideride-max
New Balance,FuelCell SuperComp Trainer v3,marathon training,road,36.8 mm,29.5 mm,7.3 mm,278g,$180,carbon,no,"ultra-soft, responsive",normal,high,https://runrepeat.com/new-balance-fuel-cell-super-comp-trainer-v-3
New Balance,Fresh Foam X Kaiha Road,daily trainer,road,35.8 mm,32.0 mm,3.8 mm,281g,$85,no,no,maximal,normal,high,https://runrepeat.com/new-balance-fresh-foam-x-kaiha-road
Brooks,Adrenaline GTS 23,daily trainer,road,34.1 mm,21.5 mm,12.6 mm,286g,$140,no,no,responsive,normal,high,https://runrepeat.com/brooks-adrenaline-gts-23
On,Cloudvista 2,daily trainer,trail,31.7 mm,25.7 mm,6.0 mm,292g,$150,no,no,responsive,normal,low,https://runrepeat.com/on-cloudvista-2
On,Cloudmonster 2,daily trainer,road,37.9 mm,31.3 mm,6.6 mm,292g,N/A,TPU,no,maximal,wide,low,https://runrepeat.com/on-cloudmonster-2
Nike,Vomero 17,daily trainer,road,33.9 mm,26.2 mm,7.7 mm,9.9 oz (282g),160,no,no,maximal,normal,high,https://runrepeat.com/nike-vomero-17
Altra,Experience Flow,daily trainer,road,30.7 mm,26.6 mm,4.1 mm,235g,$140,no,no,average,normal,high,https://runrepeat.com/altra-experience-flow
Hoka,Gaviota 5,daily trainer,road,34.9 mm,32.7 mm,2.2 mm,299g,N/A,no,no,maximal,wide,high,https://runrepeat.com/hoka-gaviota-5
Hoka,Challenger 7,daily trainer,trail,34.2,25.0,8.8,250,N/A,no,no,maximal,narrow,low,https://runrepeat.com/hoka-challenger-7
Altra,Rivera 3,daily trainer,road,28.4 mm,26.7 mm,1.7 mm,257g,N/A,no,no,plush,normal,medium,https://runrepeat.com/altra-rivera-3
HOKA,Arahi 8,daily trainer,road,39.4 mm,28.1 mm,11.3 mm,259g,$150,no,no,maximal,normal,low,https://runrepeat.com/hoka-arahi-8
Salomon,Aero Glide 3,daily trainer,road,42.2,31.9,10.3,248,160,no,no,maximal,narrow,high,https://runrepeat.com/salomon-aero-glide-3
Nike,Pegasus 41,daily trainer,road,33.6 mm,22.2 mm,11.4 mm,281g,N/A,no,no,responsive,normal,high,https://runrepeat.com/nike-pegasus-41
Saucony,Triumph 22,daily trainer,road,38.6 mm,28.9 mm,9.7 mm,286g,N/A,no,no,maximal,normal,medium,https://runrepeat.com/saucony-triumph-22
Altra,VIA Olympus,daily trainer,road,34.3,32.6,1.6,300,170,no,no,balanced,wide,high,https://runrepeat.com/altra-via-olympus
Nike,Vomero 18,daily trainer,road,42.5 mm,28.6 mm,13.9 mm,298g,$150,no,no,maximal,narrow,medium,https://runrepeat.com/nike-vomero-18
Brooks,Glycerin 20,daily trainer,road,37.1 mm,24.3 mm,12.8 mm,297g,$160,no,no,maximal,normal,high,https://runrepeat.com/brooks-glycerin-20
New Balance,Fresh Foam X Vongo v6,daily trainer,road,36.1 mm,30.5 mm,5.6 mm,312g,N/A,EVA,no,maximal,normal,low,https://runrepeat.com/new-balance-fresh-foam-x-vongo-v-6
Mizuno,Neo Zen,daily trainer,road,41.0 mm,34.0 mm,7.0 mm,234g,$150,no,no,maximal,normal,high,https://runrepeat.com/mizuno-neo-zen
ASICS,GT 2000 13,daily trainer,road,36.6 mm,27.2 mm,9.4 mm,264g,$140,no,no,responsive,normal,high,https://runrepeat.com/asics-gt-2000-13
Nike,Flex Experience Run 12,daily trainer,road,25.9 mm,19.9 mm,6.0 mm,241g,$75,no,no,minimal,normal,medium,https://runrepeat.com/nike-flex-experience-run-12
Brooks,Glycerin 22,daily trainer,road,38.5 mm,28.2 mm,10.3 mm,293g,$165,no,no,maximal,normal,high,https://runrepeat.com/brooks-glycerin-22
Nike,Vomero Plus,daily trainer,road,42.3 mm,32.7 mm,9.6 mm,289g,$180,no,no,maximal,narrow,medium,https://runrepeat.com/nike-vomero-plus
On,Cloudrunner 2,daily trainer,road,33.6 mm,25.1 mm,8.5 mm,275g,N/A,no,no,responsive,normal,high,https://runrepeat.com/on-cloudrunner-2
Adidas,Supernova Rise,daily trainer,road,32.5 mm,22.8 mm,9.7 mm,278g,$140,no,no,moderate,wide,high,https://runrepeat.com/adidas-supernova-rise
New Balance,FuelCell Rebel v4,daily trainer,road,28.0 mm,21.5 mm,6.5 mm,213g,$140,no,no,responsive,wide,high,https://runrepeat.com/new-balance-fuelcell-rebel-v4
Hoka,Rincon 4,daily trainer,road,36.0 mm,26.6 mm,9.4 mm,231g,N/A,no,no,maximal,narrow,high,https://runrepeat.com/hoka-rincon-4
Nike,Zoom X Vaporfly Next 3,racer,road,37.1 mm,26.0 mm,11.1 mm,190g,$250,carbon,no,maximal,narrow,high,https://runrepeat.com/nike-zoom-x-vaporfly-next-3
Hoka,Mach 6,daily trainer,road,36.0 mm,26.4 mm,9.6 mm,232g,$140,no,no,highly cushioned,narrow,high,https://runrepeat.com/hoka-mach-6
Saucony,Ride 18,daily trainer,road,35.0 mm,26.6 mm,8.4 mm,255g,$140,no,no,responsive,normal,high,https://runrepeat.com/saucony-ride-18
ASICS,Novablast 5,daily trainer,road,40.9 mm,33.5 mm,7.4 mm,254g,$140,no,no,maximal,normal,medium,https://runrepeat.com/asics-novablast-5
Salomon,Genesis,daily trainer,trail,33.5 mm,24.5 mm,9.0 mm,282g,N/A,no,no,balanced,normal,high,https://runrepeat.com/salomon-genesis
ASICS,Gel Cumulus 26,daily trainer,road,36.8 mm,28.6 mm,8.2 mm,259g,N/A,no,no,moderately plush,normal,medium,https://runrepeat.com/asics-gel-cumulus-26
Hoka,Clifton 10,daily trainer,road,44.4 mm,32.0 mm,12.4 mm,275g,$150,no,no,maximal,wide,medium,https://runrepeat.com/hoka-clifton-10
Nike,Pegasus Trail 5,daily trainer,trail,34.6 mm,25.0 mm,9.6 mm,286g,150,no,no,maximal,normal,low,https://runrepeat.com/nike-pegasus-trail-5
Adidas,Adizero Prime X 2 Strung,daily trainer,road,45.7 mm,36.9 mm,8.8 mm,305g,$300,carbon,no,maximal,normal,high,https://runrepeat.com/adidas-adizero-prime-x-2-strung
Brooks,Glycerin 21,daily trainer,road,37.2 mm,26.6 mm,10.6 mm,278g,N/A,no,no,maximal,normal,medium,https://runrepeat.com/brooks-glycerin-21
Nike,Pegasus Plus,daily trainer,road,33.0 mm,23.6 mm,9.4 mm,244g,$180,no,no,responsive,narrow,medium,https://runrepeat.com/nike-pegasus-plus
Adidas,Adizero EVO SL,daily trainer,road,36.1 mm,28.1 mm,8.0 mm,223g,$150,no,no,responsive,normal,high,https://runrepeat.com/adidas-adizero-evo-sl
Hoka,Clifton 8,daily trainer,road,33.7,N/A,N/A,256,130,no,no,maximal,normal,low,https://runrepeat.com/hoka-clifton-8
Nike,Downshifter 13,daily trainer,road,32.2 mm,22.1 mm,10.1 mm,265g,$75,no,no,low,normal,high,https://runrepeat.com/nike-downshifter-13
Nike,Air Zoom Pegasus 39,daily trainer,road,30.3,22.3,8,249,N/A,no,no,responsive,normal,low,https://runrepeat.com/nike-air-zoom-pegasus-39
Mizuno,Wave Rider 28,daily trainer,road,39.3 mm,24.6 mm,14.7 mm,276g,$140,Pebax Rnew,no,maximal,normal,high,https://runrepeat.com/mizuno-wave-rider-28
New Balance,FuelCell SuperComp Elite v4,racer,road,38.2 mm,28.9 mm,9.3 mm,232g,N/A,carbon,no,maximal,wide,high,https://runrepeat.com/new-balance-fuel-cell-super-comp-elite-v-4
ASICS,Gel Kayano 31,daily trainer,road,39.3 mm,27.8 mm,11.5 mm,295g,N/A,no,no,maximal,wide,high,https://runrepeat.com/asics-gel-kayano-31
Altra,Lone Peak 9,N/A,trail,23.3 mm,23.3 mm,0.0 mm,309g,$140,no,no,N/A,wide,low,https://runrepeat.com/altra-lone-peak-9
Brooks,Glycerin Max,daily trainer,road,42.3 mm,35.7 mm,6.6 mm,305g,$200,no,no,maximal,normal,high,https://runrepeat.com/brooks-glycerin-max
Brooks,Ghost Max,daily trainer,road,39.8 mm,30.3 mm,9.5 mm,291g,$150,no,no,maximal,normal,high,https://runrepeat.com/brooks-ghost-max
Adidas,Ultraboost 5X,daily trainer,road,34.6 mm,24.2 mm,10.4 mm,266g,$180,no,no,responsive,normal,medium,https://runrepeat.com/adidas-ultraboost-5-x
Brooks,Ghost Max 2,daily trainer,road,39.0 mm,29.1 mm,9.9 mm,305g,$150,no,no,maximal,normal,high,https://runrepeat.com/brooks-ghost-max-2
Mizuno,Neo Vista,"daily trainer, tempo trainer",road,44.9 mm,35.3 mm,9.6 mm,259g,$180,nylon,no,maximal,normal,medium,https://runrepeat.com/mizuno-neo-vista
Adidas,Ultraboost 22,daily trainer,road,N/A,21.2,N/A,337.7,165,no,no,maximal,narrow,N/A,https://runrepeat.com/adidas-ultraboost-22
New Balance,Fresh Foam X More v5,daily trainer,road,42.1 mm,34.3 mm,7.8 mm,308g,N/A,no,no,maximal,normal,high,https://runrepeat.com/new-balance-fresh-foam-x-more-v5
Hoka,Mafate Speed 4,N/A,trail,38.0 mm,30.8 mm,7.2 mm,293g,N/A,no,no,maximal,narrow,medium,https://runrepeat.com/hoka-mafate-speed-4
HOKA,Rocket X 3,racer,road,39.6 mm,29.6 mm,10.0 mm,220g,$250,carbon,no,responsive,narrow,high,https://runrepeat.com/hoka-rocket-x-3
ASICS,Superblast 2,"daily trainer, racer",road,42.8 mm,34.6 mm,8.2 mm,252g,$200,no,no,maximal,normal,high,https://runrepeat.com/asics-superblast-2
Altra,Torin 8,daily trainer,road,27.6 mm,27.7 mm,-0.1 mm,275g,$150,no,no,responsive,normal,medium,https://runrepeat.com/altra-torin-8
Saucony,Endorphin Speed 3,tempo running shoe,road,34.1 mm,26.7 mm,7.4 mm,225g,N/A,nylon,no,maximal,normal,high,https://runrepeat.com/saucony-endorphin-speed-3
Brooks,Adrenaline GTS 24,daily trainer,road,39.0 mm,25.5 mm,13.5 mm,291g,$140,no,no,responsive,normal,high,https://runrepeat.com/brooks-adrenaline-gts-24
On,Cloudeclipse,daily trainer,road,39.9 mm,30.5 mm,9.4 mm,272g,$180,TPU Speedboard,no,maximal,normal,high,https://runrepeat.com/on-cloudeclipse
Brooks,Hyperion Max 2,tempo trainer,road,33.2 mm,26.4 mm,6.8 mm,262g,$180,nylon,no,responsive,normal,medium,https://runrepeat.com/brooks-hyperion-max-2
Altra,Olympus 6,daily trainer,trail,32.2 mm,31.5 mm,0.7 mm,357g,$175,no,no,maximal,wide,high,https://runrepeat.com/altra-olympus-6
New Balance,Fresh Foam X 1080 v14,daily trainer,road,37.0 mm,32.8 mm,4.2 mm,285g,$165,no,no,maximal,normal,high,https://runrepeat.com/new-balance-fresh-foam-x-1080-v14
New Balance,Fresh Foam X More v4,daily trainer,road,32.5,27.9,4.6,301,150,no,no,maximal,normal,low,https://runrepeat.com/new-balance-fresh-foam-more-v-4
Nike,Winflo 11,daily trainer,road,37.6 mm,25.3 mm,12.3 mm,295g,N/A,no,no,plush foam,narrow,high,https://runrepeat.com/nike-winflo-11
Nike,ZoomX Invincible Run Flyknit 3,daily trainer,road,35.2,25.6,9.6,310,N/A,no,no,maximal,normal,high,https://runrepeat.com/nike-zoom-x-invincible-run-flyknit-3
Brooks,Ghost 15,daily trainer,road,36.3 mm,23.1 mm,13.2 mm,279g,$140,no,no,maximal,normal,high,https://runrepeat.com/brooks-ghost-15
Brooks,Hyperion 2,tempo trainer,road,32.2 mm,22.4 mm,9.8 mm,203g,$140,no,no,responsive,normal,high,https://runrepeat.com/brooks-hyperion-2
Adidas,Ultraboost 5,daily trainer,road,35.2 mm,24.6 mm,10.6 mm,10.3 oz (292g),$180,no,no,maximal,wide,high,https://runrepeat.com/adidas-ultraboost-5
Hoka,Clifton 9,daily trainer,road,32.7 mm,26.6 mm,6.1 mm,249g,N/A,no,no,maximal,narrow,medium,https://runrepeat.com/hoka-clifton-9
Brooks,Hyperion,tempo trainer,road,30.0 mm,17.7 mm,12.3 mm,211g,N/A,no,no,responsive,normal,medium,https://runrepeat.com/brooks-hyperion
Merrell,Agility Peak 5,trail running,trail,39.2 mm,25.8 mm,13.4 mm,289g,N/A,rock plate,N/A,N/A,narrow,medium,https://runrepeat.com/merrell-agility-peak-5